"","tx_id","gene_name","gene_id","gene_biotype","type","closest_region","query_region","distance"
"ENSMUSE00001108347","ENSMUST00000180740","Gm26608","ENSMUSG00000097673","lincRNA","exon","chr5-28019465-28020686","chr5-28012436-28014884",4580
"ENSMUST00000105992","ENSMUST00000105992","Pum1","ENSMUSG00000028580","protein_coding","cds","chr4-130779772-130779903","chr4-130773853-130780125",0
"ENSMUST00000116625","ENSMUST00000116625","Fetub","ENSMUSG00000022871","protein_coding","utr","chr16-22920222-22920495","chr16-22919639-22920949",0
"ENSMUSE00000773869","ENSMUST00000130574","Lclat1","ENSMUSG00000054469","protein_coding","exon","chr17-73107985-73108145","chr17-73066309-73069533",38451
"ENSMUST00000165033","ENSMUST00000165033","Egr1","ENSMUSG00000038418","protein_coding","cds","chr18-34862465-34863768","chr18-34852800-34872890",0
"ENSMUST00000179013","ENSMUST00000179013","D630033O11Rik","ENSMUSG00000095385","protein_coding","gap","chr9-43265487-43279853","chr9-43268759-43272414",0
"ENSMUST00000162494","ENSMUST00000162494","Cdk8","ENSMUSG00000029635","protein_coding","gap","chr5-146259581-146268214","chr5-146260772-146261570",0
"ENSMUSE00000843466","ENSMUST00000102508","Capzb","ENSMUSG00000028745","protein_coding","exon","chr4-139192899-139193028","chr4-139174893-139178344",14554
"ENSMUST00000100944","ENSMUST00000100944","Gm10419","ENSMUSG00000072769","protein_coding","cds","chr5-108370814-108371035","chr5-108364406-108371566",0
"ENSMUSE00000496666","ENSMUST00000073054","Mppe1","ENSMUSG00000062526","protein_coding","exon","chr18-67245382-67245830","chr18-67251639-67253914",5808
"ENSMUST00000032768","ENSMUST00000032768","Nr2f2","ENSMUSG00000030551","protein_coding","utr","chr7-70351946-70354656","chr7-70322392-70335629",16316
"ENSMUST00000030862","ENSMUST00000030862","Draxin","ENSMUSG00000029005","protein_coding","cds","chr4-148110045-148110156","chr4-148106877-148110416",0
"ENSMUST00000183065","ENSMUST00000183065","Sox14","ENSMUSG00000053747","protein_coding","cds","chr9-99875413-99875655","chr9-99867203-99880741",0
"ENSMUSE00001234259","ENSMUST00000181628","Gm6614","ENSMUSG00000079263","protein_coding","exon","chr6-142011355-142011414","chr6-142038940-142041227",27525
"ENSMUST00000140711","ENSMUST00000140711","Arhgap22","ENSMUSG00000063506","protein_coding","gap","chr14-33351433-33359117","chr14-33350602-33353574",0
"ENSMUST00000165032","ENSMUST00000165032","Snx24","ENSMUSG00000024535","protein_coding","gap","chr18-53245853-53327411","chr18-53263540-53269995",0
"ENSMUST00000170672","ENSMUST00000170672","Shisa9","ENSMUSG00000022494","protein_coding","cds","chr16-11984581-11985143","chr16-11980534-11988306",0
"ENSMUST00000173780","ENSMUST00000173780","Nrg3","ENSMUSG00000041014","protein_coding","cds","chr14-39471972-39472800","chr14-39471096-39475038",0
"ENSMUST00000020174","ENSMUST00000020174","Stx7","ENSMUSG00000019998","protein_coding","gap","chr10-24155385-24177165","chr10-24167590-24170146",0
"ENSMUSE00000271130","ENSMUST00000043577","Cldn5","ENSMUSG00000041378","protein_coding","exon","chr16-18776847-18778260","chr16-18700343-18707002",69844
"ENSMUST00000176487","ENSMUST00000176487","Ampd3","ENSMUSG00000005686","protein_coding","gap","chr7-110778025-110791187","chr7-110784831-110788394",0
"ENSMUST00000072631","ENSMUST00000072631","Nkx2-9","ENSMUSG00000058669","protein_coding","cds","chr12-56612912-56613059","chr12-56610683-56616347",0
"ENSMUST00000137202","ENSMUST00000137202","Gnao1","ENSMUSG00000031748","protein_coding","cds","chr8-93811689-93811693","chr8-93809223-93814972",0
"ENSMUST00000175965","ENSMUST00000175965","Onecut2","ENSMUSG00000045991","protein_coding","cds","chr18-64340437-64341610","chr18-64329452-64350721",0
"ENSMUST00000160780","ENSMUST00000160780","Hrh1","ENSMUSG00000053004","protein_coding","utr","chr6-114458519-114458556","chr6-114456958-114460164",0
"ENSMUST00000117944","ENSMUST00000117944","Hs3st1","ENSMUSG00000051022","protein_coding","gap","chr5-39615405-39749829","chr5-39714347-39717423",0
"ENSMUST00000143275","ENSMUST00000143275","Synpo","ENSMUSG00000043079","protein_coding","utr","chr18-60648196-60648319","chr18-60647700-60653423",0
"ENSMUST00000162150","ENSMUST00000162150","Pkp2","ENSMUSG00000041957","protein_coding","cds","chr16-16213373-16213595","chr16-16212095-16216380",0
"ENSMUST00000038207","ENSMUST00000038207","Dnajc6","ENSMUSG00000028528","protein_coding","cds","chr4-101508086-101508182","chr4-101507248-101514025",0
"ENSMUST00000184269","ENSMUST00000184269","Cyb561","ENSMUSG00000019590","protein_coding","cds","chr11-105944111-105944203","chr11-105942844-105949614",0
"ENSMUST00000172447","ENSMUST00000172447","Ndrg1","ENSMUSG00000005125","protein_coding","utr","chr15-66969504-66969616","chr15-66960760-66971849",0
"ENSMUST00000110969","ENSMUST00000110969","Fam155a","ENSMUSG00000079157","protein_coding","utr","chr8-9206001-9207742","chr8-8966979-8971375",234625
"ENSMUSE00000713675","ENSMUST00000120375","Itga3","ENSMUSG00000001507","protein_coding","exon","chr11-95076768-95076801","chr11-95084827-95090137",8025
"ENSMUSE00001322785","ENSMUST00000189171","D130051D11Rik","ENSMUSG00000101828","lincRNA","exon","chr15-85639747-85645934","chr15-85665267-85674955",19332
"ENSMUST00000178174","ENSMUST00000178174","Pou3f2","ENSMUSG00000095139","protein_coding","cds","chr4-22486794-22488131","chr4-22476175-22499242",0
"ENSMUST00000062254","ENSMUST00000062254","Clec14a","ENSMUSG00000045930","protein_coding","cds","chr12-58267455-58268834","chr12-58266438-58269884",0
"ENSMUST00000194641","ENSMUST00000194641","Elf2","ENSMUSG00000037174","protein_coding","gap","chr3-51326036-51340413","chr3-51326385-51328301",0
"ENSMUST00000162713","ENSMUST00000162713","Dnal4","ENSMUSG00000022420","protein_coding","gap","chr15-79765854-79774358","chr15-79767140-79769718",0
"ENSMUST00000110909","ENSMUST00000110909","Arhgef7","ENSMUSG00000031511","protein_coding","gap","chr8-11758518-11781154","chr8-11772946-11776492",0
"ENSMUST00000175700","ENSMUST00000175700","Cyyr1","ENSMUSG00000041134","protein_coding","cds","chr16-85550036-85550108","chr16-85546381-85550887",0
"ENSMUST00000006991","ENSMUST00000006991","Hcn1","ENSMUSG00000021730","protein_coding","gap","chr13-117874085-117902746","chr13-117897705-117899556",0
"ENSMUST00000091560","ENSMUST00000091560","2010111I01Rik","ENSMUSG00000021458","protein_coding","cds","chr13-63240257-63240331","chr13-63238984-63263051",0
"ENSMUSE00000638286","ENSMUST00000048545","Arglu1","ENSMUSG00000040459","protein_coding","exon","chr8-8689977-8690537","chr8-8865774-8871000",175236
"ENSMUST00000006614.1","ENSMUST00000006614","Epha2","ENSMUSG00000006445","protein_coding","cds","chr4-141316871-141317203","chr4-141309716-141317642",0
"ENSMUST00000029043","ENSMUST00000029043","Fabp12","ENSMUSG00000027530","protein_coding","utr","chr3-10261410-10261622","chr3-10257589-10261669",0
"ENSMUST00000097275","ENSMUST00000097275","Prkce","ENSMUSG00000045038","protein_coding","gap","chr17-86559306-86619891","chr17-86591975-86595222",0
"ENSMUST00000023356","ENSMUST00000023356","Snai2","ENSMUSG00000022676","protein_coding","cds","chr16-14706711-14707259","chr16-14703729-14706781",0
"ENSMUST00000025500","ENSMUST00000025500","Slc27a6","ENSMUSG00000024600","protein_coding","cds","chr18-58556464-58556944","chr18-58555146-58559065",0
"ENSMUST00000084031","ENSMUST00000084031","Htra4","ENSMUSG00000037406","protein_coding","gap","chr8-25025735-25029628","chr8-25026953-25028815",0
"ENSMUST00000089162","ENSMUST00000089162","Edem1","ENSMUSG00000030104","protein_coding","utr","chr6-108855557-108859356","chr6-109152427-109154538",293070
"ENSMUST00000141427","ENSMUST00000141427","Nmnat3","ENSMUSG00000032456","protein_coding","gap","chr9-98296981-98354018","chr9-98332724-98334496",0
"ENSMUST00000164721","ENSMUST00000164721","Nrg4","ENSMUSG00000032311","protein_coding","utr","chr9-55283497-55283625","chr9-55282751-55286210",0
"ENSMUSE00000692407","ENSMUST00000100944","Gm10419","ENSMUSG00000072769","protein_coding","exon","chr5-108369858-108370607","chr5-108359436-108363458",6399
"ENSMUST00000125882","ENSMUST00000125882","Myo5b","ENSMUSG00000025885","protein_coding","cds","chr18-74441032-74441052","chr18-74440169-74445575",0
"ENSMUST00000174869","ENSMUST00000174869","Hoxc5","ENSMUSG00000022485","protein_coding","gap","chr15-102967609-103015227","chr15-102995628-103003524",0
"ENSMUSE00000874945","ENSMUST00000170205","Gm10320","ENSMUSG00000092116","protein_coding","exon","chr13-98491956-98492001","chr13-98532149-98537120",40147
"ENSMUST00000068006","ENSMUST00000068006","Mocos","ENSMUSG00000039616","protein_coding","cds","chr18-24676560-24676676","chr18-24669373-24676939",0
"ENSMUST00000085299","ENSMUST00000085299","Daam1","ENSMUSG00000034574","protein_coding","utr","chr12-71989889-71992367","chr12-72013423-72015925",21055
"ENSMUST00000179981","ENSMUST00000179981","Gm16505","ENSMUSG00000096107","protein_coding","cds","chr13-3361506-3361533","chr13-3357588-3361989",0
"ENSMUSE00000838701","ENSMUST00000153283","Gm13923","ENSMUSG00000087544","lincRNA","exon","chr2-109022687-109022749","chr2-108764136-108765583",257103
"ENSMUST00000109838","ENSMUST00000109838","Ntrk2","ENSMUSG00000055254","protein_coding","cds","chr13-58808729-58808940","chr13-58806031-58809102",0
"ENSMUST00000153432","ENSMUST00000153432","Erbb4","ENSMUSG00000062209","protein_coding","cds","chr1-69107675-69107756","chr1-69104991-69109675",0
"ENSMUST00000063750.1","ENSMUST00000063750","Rarb","ENSMUSG00000017491","protein_coding","gap","chr14-16548563-16574857","chr14-16550943-16560675",0
"ENSMUST00000096224","ENSMUST00000096224","Adcy6","ENSMUSG00000022994","protein_coding","utr","chr15-98607481-98607633","chr15-98605259-98611976",0
"ENSMUSE00000617867","ENSMUST00000089332","Col8a1","ENSMUSG00000068196","protein_coding","exon","chr16-57754640-57754737","chr16-57856489-57859808",101751
"ENSMUST00000135790","ENSMUST00000135790","Sema6a","ENSMUSG00000019647","protein_coding","utr","chr18-47368238-47368448","chr18-47365693-47372593",0
"ENSMUST00000173533","ENSMUST00000173533","Ptger3","ENSMUSG00000040016","protein_coding","cds","chr3-157567018-157567845","chr3-157564778-157574364",0
"ENSMUST00000149710","ENSMUST00000149710","Sntg2","ENSMUSG00000020672","protein_coding","cds","chr12-30373158-30373229","chr12-30372037-30374364",0
"ENSMUST00000092532","ENSMUST00000092532","Nfia","ENSMUSG00000028565","protein_coding","utr","chr4-98111236-98118874","chr4-98187243-98191198",68368
"ENSMUST00000034215","ENSMUST00000034215","Mt1","ENSMUSG00000031765","protein_coding","cds","chr8-94180102-94180193","chr8-94177967-94180668",0
"ENSMUSE00000931586","ENSMUST00000173141","Gm20546","ENSMUSG00000092392","lincRNA","exon","chr17-36248821-36248906","chr17-36230913-36232385",16435
"ENSMUSE00000681257","ENSMUST00000090195","Gm11027","ENSMUSG00000078984","protein_coding","exon","chr12-116275386-116275425","chr12-116268753-116270979",4406
"ENSMUST00000019192","ENSMUST00000019192","Cryaa","ENSMUSG00000024041","protein_coding","utr","chr17-31681196-31681722","chr17-31726399-31731561",44676
"ENSMUST00000151110","ENSMUST00000151110","Ece1","ENSMUSG00000057530","protein_coding","gap","chr4-137926432-137935260","chr4-137928713-137931982",0
"ENSMUSE00001140153","ENSMUST00000181193","Gm26519","ENSMUSG00000097237","lincRNA","exon","chr5-105405394-105406970","chr5-105408667-105409952",1696
"ENSMUST00000146497","ENSMUST00000146497","Sulf2","ENSMUSG00000006800","protein_coding","gap","chr2-166132855-166155502","chr2-166139137-166144668",0
"ENSMUST00000087204.1","ENSMUST00000087204","Fry","ENSMUSG00000056602","protein_coding","cds","chr5-150466785-150466946","chr5-150464344-150467491",0
"ENSMUST00000047450.1","ENSMUST00000047450","Creb5","ENSMUSG00000053007","protein_coding","cds","chr6-53573428-53573438","chr6-53570928-53585994",0
"ENSMUST00000151491","ENSMUST00000151491","Kalrn","ENSMUSG00000061751","protein_coding","gap","chr16-34392110-34513913","chr16-34466609-34472808",0
"ENSMUST00000172261","ENSMUST00000172261","Rhobtb1","ENSMUSG00000019944","protein_coding","utr","chr10-69219385-69219539","chr10-69218978-69223072",0
"ENSMUST00000022262","ENSMUST00000022262","Fezf2","ENSMUSG00000021743","protein_coding","cds","chr14-12344349-12345185","chr14-12336456-12348368",0
"ENSMUST00000162280","ENSMUST00000162280","Lhfpl4","ENSMUSG00000042873","protein_coding","utr","chr6-113168090-113171857","chr6-113165780-113168403",0
"ENSMUST00000046614","ENSMUST00000046614","Gipc2","ENSMUSG00000039131","protein_coding","gap","chr3-152108048-152128035","chr3-152119031-152123527",0
"ENSMUST00000160481","ENSMUST00000160481","Gpatch2","ENSMUSG00000039210","protein_coding","cds","chr1-187225503-187226219","chr1-187225704-187229418",0
"ENSMUST00000168621","ENSMUST00000168621","Ptprj","ENSMUSG00000025314","protein_coding","gap","chr2-90474990-90580155","chr2-90496102-90506692",0
"ENSMUST00000168554","ENSMUST00000168554","Gm5423","ENSMUSG00000056219","protein_coding","cds","chr10-53474964-53475467","chr10-53502041-53504610",26573
"ENSMUST00000050063","ENSMUST00000050063","Arf6","ENSMUSG00000044147","protein_coding","utr","chr12-69373322-69375979","chr12-69457532-69459342",81552
"ENSMUST00000128909","ENSMUST00000128909","Tmem56","ENSMUSG00000028132","protein_coding","utr","chr3-121262700-121263159","chr3-121258276-121264367",0
"ENSMUST00000149499","ENSMUST00000149499","Ralgapa2","ENSMUSG00000037110","protein_coding","cds","chr2-146314923-146315050","chr2-146309068-146315519",0
"ENSMUST00000166018","ENSMUST00000166018","Tbx20","ENSMUSG00000031965","protein_coding","cds","chr9-24773719-24773845","chr9-24768755-24782930",0
"ENSMUST00000163524","ENSMUST00000163524","Tenm2","ENSMUSG00000049336","protein_coding","gap","chr11-36147210-36163718","chr11-36151300-36154061",0
"ENSMUST00000149235","ENSMUST00000149235","Phactr1","ENSMUSG00000054728","protein_coding","gap","chr13-42709851-42956616","chr13-42914780-42918464",0
"ENSMUST00000115733","ENSMUST00000115733","Gucy1a2","ENSMUSG00000041624","protein_coding","cds","chr9-3532803-3533099","chr9-3531066-3534553",0
"ENSMUSE00000689913","ENSMUST00000111964","Hnrnpa3","ENSMUSG00000059005","protein_coding","exon","chr2-75659261-75659389","chr2-75605426-75611032",48228
"ENSMUST00000094681","ENSMUST00000094681","Wipf1","ENSMUSG00000075284","protein_coding","utr","chr2-73529327-73529734","chr2-73526160-73532745",0
"ENSMUST00000109248","ENSMUST00000109248","Irak4","ENSMUSG00000059883","protein_coding","gap","chr15-94563081-94566738","chr15-94564618-94566687",0
"ENSMUST00000049994","ENSMUST00000049994","Rimkla","ENSMUSG00000048899","protein_coding","cds","chr4-119468068-119468525","chr4-119467142-119468594",0
"ENSMUST00000105097","ENSMUST00000105097","Zswim6","ENSMUSG00000032846","protein_coding","gap","chr13-107788010-107889396","chr13-107843895-107848660",0
"ENSMUST00000015460","ENSMUST00000015460","Slamf1","ENSMUSG00000015316","protein_coding","cds","chr1-171774783-171775124","chr1-171766488-171775718",0
"ENSMUST00000102656","ENSMUST00000102656","Foxo6","ENSMUSG00000052135","protein_coding","utr","chr4-120267079-120267916","chr4-120222868-120226241",40837
"ENSMUST00000066197","ENSMUST00000066197","Asic2","ENSMUSG00000020704","protein_coding","gap","chr11-80971615-81967629","chr11-81414160-81416533",0
"ENSMUSE00001045980","ENSMUST00000105160","Vmn1r2","ENSMUSG00000094798","protein_coding","exon","chr4-3172083-3173006","chr4-3079236-3086542",85540
"ENSMUSE00000435435","ENSMUST00000031982","Hpgds","ENSMUSG00000029919","protein_coding","exon","chr6-65144673-65144908","chr6-65161407-65165687",16498
"ENSMUST00000122898","ENSMUST00000122898","Gm12474","ENSMUSG00000053957","lincRNA","gap","chr3-100513720-100522839","chr3-100514751-100517603",0
"ENSMUST00000027559","ENSMUST00000027559","Tnfrsf11a","ENSMUSG00000026321","protein_coding","utr","chr1-105844867-105847981","chr1-105904477-105907708",56495
"ENSMUST00000120087.1","ENSMUST00000120087","Samd9l","ENSMUSG00000047735","protein_coding","utr","chr6-3372257-3372519","chr6-3200956-3201868",170388
"ENSMUST00000133895","ENSMUST00000133895","Zfp462","ENSMUSG00000060206","protein_coding","utr","chr4-54945048-54945101","chr4-54944216-54951082",0
"ENSMUST00000042710","ENSMUST00000042710","Smim3","ENSMUSG00000038059","protein_coding","gap","chr18-60475586-60501392","chr18-60480009-60484185",0
"ENSMUSE00001326358","ENSMUST00000186795","Gm29463","ENSMUSG00000101121","lincRNA","exon","chr5-79419417-79419690","chr5-79734456-79735433",314765
"ENSMUST00000036019","ENSMUST00000036019","Fras1","ENSMUSG00000034687","protein_coding","cds","chr5-96374813-96374885","chr5-96372595-96376620",0
"ENSMUSE00001045980.1","ENSMUST00000105160","Vmn1r2","ENSMUSG00000094798","protein_coding","exon","chr4-3172083-3173006","chr4-3061674-3070128",101954
"ENSMUSE00001085710","ENSMUST00000042700","Gstp2","ENSMUSG00000038155","protein_coding","exon","chr19-4042165-4042236","chr19-4045487-4046845",3250
"ENSMUST00000173899","ENSMUST00000173899","Mecom","ENSMUSG00000027684","protein_coding","gap","chr3-30238322-30509429","chr3-30243472-30248070",0
"ENSMUST00000168303","ENSMUST00000168303","Ptpn4","ENSMUSG00000026384","protein_coding","gap","chr1-119802478-119836901","chr1-119804324-119809434",0
"ENSMUST00000142635","ENSMUST00000142635","Dlx5","ENSMUSG00000029755","protein_coding","cds","chr6-6881532-6881886","chr6-6869037-6883821",0
"ENSMUST00000112706","ENSMUST00000112706","Serpinb8","ENSMUSG00000026315","protein_coding","utr","chr1-107590006-107590287","chr1-107589368-107594045",0
"ENSMUSE00000457846","ENSMUST00000025089","Map4k3","ENSMUSG00000024242","protein_coding","exon","chr17-80727794-80728093","chr17-80797358-80803359",69264
"ENSMUST00000079721","ENSMUST00000079721","En1","ENSMUSG00000058665","protein_coding","cds","chr1-120606873-120607189","chr1-120590000-120610881",0
"ENSMUST00000050630","ENSMUST00000050630","Supt3","ENSMUSG00000038954","protein_coding","utr","chr17-45119185-45119290","chr17-45244112-45249424",124821
"ENSMUSE00001343743","ENSMUST00000195476","RP24-226L19.1","ENSMUSG00000104188","lincRNA","exon","chr1-39048648-39049095","chr1-39023634-39026641",22006
"ENSMUST00000105566","ENSMUST00000105566","Runx1t1","ENSMUSG00000006586","protein_coding","utr","chr4-13751297-13751748","chr4-13749226-13753595",0
"ENSMUST00000176175","ENSMUST00000176175","Zfhx4","ENSMUSG00000025255","protein_coding","utr","chr3-5221505-5221679","chr3-5213452-5222608",0
"ENSMUSE00001321635.1","ENSMUST00000188056","1810053B23Rik","ENSMUSG00000100277","processed_transcript","exon","chr16-93343281-93344371","chr16-93196537-93198569",144711
"ENSMUST00000190053","ENSMUST00000190053","1700036A12Rik","ENSMUSG00000095956","lincRNA","gap","chr9-60743303-60746012","chr9-60740629-60745290",0
"ENSMUST00000067458","ENSMUST00000067458","Sema5a","ENSMUSG00000022231","protein_coding","utr","chr15-32244813-32245299","chr15-32242941-32247346",0
"ENSMUST00000105476","ENSMUST00000105476","Dcbld1","ENSMUSG00000019891","protein_coding","cds","chr10-52284103-52284237","chr10-52283354-52285517",0
"ENSMUST00000173432","ENSMUST00000173432","Hoxb6","ENSMUSG00000000690","protein_coding","cds","chr11-96300669-96300928","chr11-96288257-96323012",0
"ENSMUST00000184931","ENSMUST00000184931","Ext2","ENSMUSG00000027198","protein_coding","cds","chr2-93762553-93762684","chr2-93757839-93765081",0
"ENSMUST00000168401","ENSMUST00000168401","Lpl","ENSMUSG00000015568","protein_coding","cds","chr8-68880753-68880840","chr8-68879886-68883093",0
"ENSMUSE00000503310","ENSMUST00000043983","Igsf3","ENSMUSG00000042035","protein_coding","exon","chr3-101377125-101377202","chr3-101365563-101370063",7061
"ENSMUST00000191428","ENSMUST00000191428","Fat1","ENSMUSG00000070047","protein_coding","utr","chr8-44935447-44935621","chr8-44933701-44939103",0
"ENSMUST00000103240","ENSMUST00000103240","Sema6d","ENSMUSG00000027200","protein_coding","utr","chr2-124610601-124611060","chr2-124608265-124614319",0
"ENSMUST00000187510.1","ENSMUST00000187510","Chrm3","ENSMUSG00000046159","protein_coding","gap","chr13-10028500-10122226","chr13-10051903-10055315",0
"ENSMUST00000036665","ENSMUST00000036665","Cog6","ENSMUSG00000027742","protein_coding","utr","chr3-52981875-52983043","chr3-52951502-52958578",23296
"ENSMUSE00000392471","ENSMUST00000043938","Plcl2","ENSMUSG00000038910","protein_coding","exon","chr17-50509547-50509937","chr17-50415202-50416909",92637
"ENSMUST00000089017","ENSMUST00000089017","Fndc3a","ENSMUSG00000033487","protein_coding","utr","chr14-72537946-72540166","chr14-72112721-72114892",423053
"ENSMUST00000032779","ENSMUST00000032779","Ctsc","ENSMUSG00000030560","protein_coding","utr","chr7-88309903-88310888","chr7-88317744-88324487",6855
"ENSMUST00000028024","ENSMUST00000028024","Tnfsf4","ENSMUSG00000026700","protein_coding","cds","chr1-161395582-161395743","chr1-161392436-161401159",0
"ENSMUST00000074372","ENSMUST00000074372","Irx2","ENSMUSG00000001504","protein_coding","utr","chr13-72633264-72634198","chr13-72635570-72641556",1371
"ENSMUST00000127489","ENSMUST00000127489","Esrrg","ENSMUSG00000026610","protein_coding","utr","chr1-187609122-187609205","chr1-187602950-187610983",0
"ENSMUST00000031170","ENSMUST00000031170","Cenpc1","ENSMUSG00000029253","protein_coding","utr","chr5-86012043-86012256","chr5-85780057-85781761",230281
"ENSMUST00000105547","ENSMUST00000105547","Phactr2","ENSMUSG00000062866","protein_coding","gap","chr10-13291963-13474055","chr10-13374896-13378349",0
"ENSMUST00000153869","ENSMUST00000153869","Usp48","ENSMUSG00000043411","protein_coding","cds","chr4-137644426-137644498","chr4-137641005-137644470",0
"ENSMUST00000114787","ENSMUST00000114787","Stxbp5l","ENSMUSG00000022829","protein_coding","cds","chr16-37383512-37383697","chr16-37383434-37386181",0
"ENSMUSE00000847481","ENSMUST00000158346","Gm23764","ENSMUSG00000088971","rRNA","exon","chr14-102806099-102806146","chr14-102826866-102835782",20719
"ENSMUST00000185121","ENSMUST00000185121","Thtpa","ENSMUSG00000045691","protein_coding","gap","chr14-55074757-55097379","chr14-55088181-55090039",0
"ENSMUST00000044081","ENSMUST00000044081","Papd7","ENSMUSG00000034575","protein_coding","utr","chr13-69497959-69499915","chr13-69480568-69486356",11602
"ENSMUST00000190840","ENSMUST00000190840","Tenm3","ENSMUSG00000031561","protein_coding","utr","chr8-48843778-48844026","chr8-48842106-48847421",0
"ENSMUST00000022100","ENSMUST00000022100","Slc6a3","ENSMUSG00000021609","protein_coding","utr","chr13-73536747-73536860","chr13-73535023-73537834",0
"ENSMUST00000054883","ENSMUST00000054883","Pou3f3","ENSMUSG00000045515","protein_coding","cds","chr1-42697146-42698639","chr1-42683521-42708353",0
"ENSMUSE00000821095","ENSMUST00000151977","Ntm","ENSMUSG00000059974","protein_coding","exon","chr9-29962845-29963141","chr9-30137141-30138718",173999
"ENSMUST00000094666","ENSMUST00000094666","Tmem200b","ENSMUSG00000070720","protein_coding","cds","chr4-131921771-131922625","chr4-131909474-131924924",0
"ENSMUST00000096990","ENSMUST00000096990","Cdc45","ENSMUSG00000000028","protein_coding","gap","chr16-18787069-18793177","chr16-18788188-18790339",0
"ENSMUSE00000585019","ENSMUST00000082170","Fat3","ENSMUSG00000074505","protein_coding","exon","chr9-16374949-16378231","chr9-16498936-16503564",120704
"ENSMUST00000057337","ENSMUST00000057337","Fgfbp3","ENSMUSG00000047632","protein_coding","cds","chr19-36918464-36919216","chr19-36917995-36920151",0
"ENSMUST00000114987","ENSMUST00000114987","Camk1d","ENSMUSG00000039145","protein_coding","gap","chr2-5362128-5445069","chr2-5378840-5379587",0
"ENSMUST00000079788","ENSMUST00000079788","Mkx","ENSMUSG00000061013","protein_coding","cds","chr18-7002357-7002544","chr18-7000485-7007084",0
"ENSMUST00000093393","ENSMUST00000093393","Tbc1d9","ENSMUSG00000031709","protein_coding","gap","chr8-83166205-83210420","chr8-83199403-83204590",0
"ENSMUST00000053604","ENSMUST00000053604","3100002H09Rik","ENSMUSG00000051219","protein_coding","utr","chr4-124609931-124610334","chr4-124593831-124596420",13510
"ENSMUSE00001339345","ENSMUST00000192782","RP23-415L22.2","ENSMUSG00000102979","lincRNA","exon","chr3-5880832-5880886","chr3-5860132-5861048",19783
"ENSMUSE00001239330","ENSMUST00000001809","Pabpc1","ENSMUSG00000022283","protein_coding","exon","chr15-36608314-36608973","chr15-36639003-36645983",30029
"ENSMUST00000084526","ENSMUST00000084526","Slc31a1","ENSMUSG00000066150","protein_coding","gap","chr4-62360844-62385491","chr4-62366482-62375104",0
"ENSMUST00000100523","ENSMUST00000100523","Hoxb2","ENSMUSG00000075588","protein_coding","cds","chr11-96352950-96353629","chr11-96347747-96356811",0
"ENSMUST00000023007","ENSMUST00000023007","Adcy8","ENSMUSG00000022376","protein_coding","cds","chr15-64920152-64921105","chr15-64920154-64923622",0
"ENSMUST00000046638","ENSMUST00000046638","Mettl25","ENSMUSG00000036009","protein_coding","utr","chr10-105763189-105763359","chr10-105759657-105762806",382
"ENSMUST00000021438","ENSMUST00000021438","Nova1","ENSMUSG00000021047","protein_coding","cds","chr12-46818616-46818751","chr12-46815584-46821025",0
"ENSMUST00000035419","ENSMUST00000035419","Prf1","ENSMUSG00000037202","protein_coding","utr","chr10-61303930-61304263","chr10-61305141-61307562",877
"ENSMUSE00001331160","ENSMUST00000185443","2610027F03Rik","ENSMUSG00000099957","lincRNA","exon","chr1-120621740-120621879","chr1-120612530-120618834",2905
"ENSMUST00000093852","ENSMUST00000093852","Zbtb16","ENSMUSG00000066687","protein_coding","gap","chr9-48743562-48831742","chr9-48813276-48823826",0
"ENSMUST00000021810","ENSMUST00000021810","Id4","ENSMUSG00000021379","protein_coding","cds","chr13-48262285-48262329","chr13-48259909-48263597",0
"ENSMUST00000146678","ENSMUST00000146678","Gm12603","ENSMUSG00000085183","lincRNA","gap","chr4-89057336-89084236","chr4-89055837-89060072",0
"ENSMUSE00000847105","ENSMUST00000157970","Gm24601","ENSMUSG00000088595","rRNA","exon","chr6-94826781-94826923","chr6-94915450-94917171",88526
"ENSMUST00000068664","ENSMUST00000068664","Neo1","ENSMUSG00000032340","protein_coding","cds","chr9-59035966-59036128","chr9-59033747-59037704",0
"ENSMUST00000074615","ENSMUST00000074615","Gm5426","ENSMUSG00000096486","protein_coding","cds","chr10-96136603-96136914","chr10-96179903-96182687",42988
"ENSMUST00000046485","ENSMUST00000046485","Efcab11","ENSMUSG00000021176","protein_coding","utr","chr12-99717531-99719024","chr12-99684192-99688708",28822
"ENSMUST00000020546","ENSMUST00000020546","Stc2","ENSMUSG00000020303","protein_coding","cds","chr11-31369712-31369862","chr11-31368038-31374051",0
"ENSMUST00000126068","ENSMUST00000126068","Pax1","ENSMUSG00000037034","protein_coding","cds","chr2-147367877-147367878","chr2-147359906-147368721",0
"ENSMUST00000179001","ENSMUST00000179001","Sirpa","ENSMUSG00000037902","protein_coding","gap","chr2-129593695-129608903","chr2-129605651-129607505",0
"ENSMUST00000049400","ENSMUST00000049400","Kank1","ENSMUSG00000032702","protein_coding","utr","chr19-25433584-25434496","chr19-25434604-25438684",107
"ENSMUST00000153250","ENSMUST00000153250","Pax9","ENSMUSG00000001497","protein_coding","cds","chr12-56700012-56700154","chr12-56687682-56701900",0
"ENSMUSE00001326085","ENSMUST00000188146","Gm29296","ENSMUSG00000102124","lincRNA","exon","chr7-51750796-51751010","chr7-51723302-51724916",25879
